2024-06-28 13:58:30,618 INFO    MainThread:20087 [wandb_setup.py:_flush():76] Current SDK version is 0.17.3
2024-06-28 13:58:30,619 INFO    MainThread:20087 [wandb_setup.py:_flush():76] Configure stats pid to 20087
2024-06-28 13:58:30,619 INFO    MainThread:20087 [wandb_setup.py:_flush():76] Loading settings from /home/brett/.config/wandb/settings
2024-06-28 13:58:30,619 INFO    MainThread:20087 [wandb_setup.py:_flush():76] Loading settings from /home/brett/Desktop/tutorials/ijepa/ijepa/wandb/settings
2024-06-28 13:58:30,619 INFO    MainThread:20087 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2024-06-28 13:58:30,619 INFO    MainThread:20087 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-28 13:58:30,619 INFO    MainThread:20087 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main_ijepa.py', 'program_abspath': '/home/brett/Desktop/tutorials/ijepa/ijepa/main_ijepa.py', 'program': 'main_ijepa.py'}
2024-06-28 13:58:30,619 INFO    MainThread:20087 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-28 13:58:30,619 INFO    MainThread:20087 [wandb_init.py:_log_setup():520] Logging user logs to /home/brett/Desktop/tutorials/ijepa/ijepa/wandb/run-20240628_135830-5cozuh6p/logs/debug.log
2024-06-28 13:58:30,619 INFO    MainThread:20087 [wandb_init.py:_log_setup():521] Logging internal logs to /home/brett/Desktop/tutorials/ijepa/ijepa/wandb/run-20240628_135830-5cozuh6p/logs/debug-internal.log
2024-06-28 13:58:30,619 INFO    MainThread:20087 [wandb_init.py:init():560] calling init triggers
2024-06-28 13:58:30,619 INFO    MainThread:20087 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-06-28 13:58:30,619 INFO    MainThread:20087 [wandb_init.py:init():610] starting backend
2024-06-28 13:58:30,619 INFO    MainThread:20087 [wandb_init.py:init():614] setting up manager
2024-06-28 13:58:30,624 INFO    MainThread:20087 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-06-28 13:58:30,625 INFO    MainThread:20087 [wandb_init.py:init():622] backend started and connected
2024-06-28 13:58:30,635 INFO    MainThread:20087 [wandb_init.py:init():711] updated telemetry
2024-06-28 13:58:30,650 INFO    MainThread:20087 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-06-28 13:58:30,978 INFO    MainThread:20087 [wandb_run.py:_on_init():2402] communicating current version
2024-06-28 13:58:31,120 INFO    MainThread:20087 [wandb_run.py:_on_init():2411] got version response 
2024-06-28 13:58:31,120 INFO    MainThread:20087 [wandb_init.py:init():795] starting run threads in backend
2024-06-28 13:58:44,954 INFO    MainThread:20087 [wandb_run.py:_console_start():2380] atexit reg
2024-06-28 13:58:44,954 INFO    MainThread:20087 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-06-28 13:58:44,954 INFO    MainThread:20087 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-06-28 13:58:44,955 INFO    MainThread:20087 [wandb_run.py:_redirect():2325] Redirects installed.
2024-06-28 13:58:44,957 INFO    MainThread:20087 [wandb_init.py:init():838] run started, returning control to user process
